RADIO_REF_ID,FRAC_REF_ID,IDRADIO
1022,105,02
1023,105,03
1024,105,04
1025,105,05
1026,105,06
1027,106,01
1028,106,02
1029,106,03
1030,106,04
1031,107,01
1032,107,02
1033,107,03
1034,108,01
1035,108,02
1036,108,03
1037,108,04
1038,108,05
1039,108,06
1040,108,07
1041,108,08
1042,108,09
1043,108,10
1044,109,01
1045,109,02
1046,109,03
1047,109,04
1048,109,05
1049,109,06
1050,109,07
1051,109,08
1052,109,09
1053,109,10
1054,109,11
1055,110,01
1056,110,02
1057,110,03
1058,110,04
1059,110,05
1060,110,06
1061,110,07
1062,110,08
1063,110,09
1064,110,10
1065,110,11
1066,111,01
1067,111,02
1068,111,03
1069,111,04
1070,111,05
1071,111,06
1072,111,07
1073,111,08
1074,111,09
1075,112,01
1076,112,02
1077,112,03
1078,112,04
1079,112,05
1080,112,06
1081,112,07
1082,112,08
1083,113,01
1084,113,02
1085,113,03
1086,113,04
1087,113,05
1088,113,06
1089,113,07
1090,113,08
1091,114,01
1092,114,02
1093,114,03
1094,114,04
1095,114,05
1096,114,06
1097,114,07
1098,114,08
1099,115,01
1100,115,02
1101,115,03
1102,115,04
1103,115,05
1104,115,06
1105,115,07
1106,115,08
1107,115,09
1108,116,01
1109,116,02
1110,116,03
1111,116,04
1112,116,05
1113,116,06
1114,116,07
1115,116,08
1116,116,09
1117,116,10
1118,117,01
1119,117,02
1120,117,03
1121,117,04
1122,117,05
1123,117,06
1124,117,07
1125,117,08
1126,117,09
1127,117,10
1128,118,01
1129,118,02
1130,118,03
1131,118,04
1132,118,05
1133,118,06
1134,118,07
1135,118,08
1136,118,09
1137,118,10
1138,119,01
1139,119,02
1140,119,03
1141,119,04
1142,119,05
1143,119,06
1144,119,07
1145,120,01
1146,120,02
1147,120,03
1148,120,04
1149,120,05
1150,120,06
1151,120,07
1152,120,08
1153,120,09
1154,121,01
1155,121,02
1156,121,03
1157,121,04
1158,121,05
1159,121,06
1160,121,07
1161,121,08
1162,121,09
1163,122,01
1164,122,02
1165,122,03
1166,122,04
1167,122,05
1168,122,06
1169,122,07
1170,122,08
1171,122,09
1172,123,01
1173,123,02
1174,123,03
1175,123,04
1176,123,05
1177,123,06
1178,123,07
1179,123,08
1180,123,09
1181,123,10
1182,123,11
1183,124,01
1184,124,02
1185,124,03
1186,124,04
1187,124,05
1188,124,06
1189,124,07
1190,124,08
1191,124,09
1192,124,10
1193,124,11
1194,125,01
1195,125,02
1196,125,03
1197,125,04
1198,125,05
1199,125,06
1200,125,07
1201,125,08
1202,125,09
1203,125,10
1204,125,11
1205,126,01
1206,126,02
1207,126,03
1208,126,04
1209,126,05
1210,126,06
1211,126,07
1212,126,08
1213,126,09
1214,126,10
1215,126,11
1216,127,01
1217,127,02
1218,127,03
1219,127,04
1220,127,05
1221,127,06
1222,127,07
1223,127,08
1224,127,09
1225,127,10
1226,127,11
1227,127,12
1228,128,01
1229,128,02
1230,128,03
1231,128,04
1232,128,05
1233,128,06
1234,128,07
1235,128,08
1236,128,09
1237,128,10
1238,128,11
1239,129,01
1240,129,02
1241,129,03
1242,129,04
1243,129,05
1244,129,06
1245,129,07
1246,129,08
1247,129,09
1248,129,10
1249,129,11
1250,129,12
1251,129,13
1252,130,01
1253,130,02
1254,130,03
1255,130,04
1256,130,05
1257,130,06
1258,130,07
1259,130,08
1260,130,09
1261,130,10
1262,130,11
1263,130,12
1264,131,01
1265,131,02
1266,131,03
1267,131,04
1268,131,05
1269,131,06
1270,131,07
1271,131,08
1272,131,09
1273,131,10
1274,131,11
1275,132,01
1276,132,02
1277,132,03
1278,132,04
1279,132,05
1280,132,06
1281,132,07
1282,132,08
1283,132,09
1284,132,10
1285,133,01
1286,133,02
1287,133,03
1288,133,04
1289,133,05
1290,133,06
1291,133,07
1292,133,08
1293,133,09
1294,133,10
1295,133,11
1296,134,01
1297,134,02
1298,134,03
1299,134,04
1300,134,05
1301,134,06
1302,134,07
1303,134,08
1304,134,09
1305,134,10
1306,134,11
1307,134,12
1308,135,01
1309,135,02
1310,135,03
1311,135,04
1312,135,05
1313,135,06
1314,135,07
1315,135,08
1316,135,09
1317,136,01
1318,136,02
1319,136,03
1320,136,04
1321,136,05
1322,136,06
1323,136,07
1324,136,08
1325,136,09
1326,136,10
1327,136,11
1328,136,12
1329,136,13
1330,137,01
1331,137,02
1332,137,03
1333,137,04
1334,137,05
1335,137,06
1336,137,07
1337,137,08
1338,137,09
1339,137,10
1340,138,01
1341,138,02
1342,138,03
1343,138,04
1344,138,05
1345,138,06
1346,138,07
1347,138,08
1348,138,09
1349,138,10
1350,139,01
1351,139,02
1352,139,03
1353,139,04
1354,139,05
1355,139,06
1356,139,07
1357,139,08
1358,139,09
1359,139,10
