,RADIO,geometry,departamen,circuito,RADIO.CIRCUITO
179,020011503,POINT (-58.38043577516339 -34.61188302799302),Comuna 1,0014,020010014
180,020011504,POINT (-58.37736113175388 -34.612621231882414),Comuna 1,0014,020010014
169,020011405,POINT (-58.37540324443273 -34.61324796883982),Comuna 1,0015,020010015
170,020011406,POINT (-58.37394683099009 -34.61374615589209),Comuna 1,0015,020010015
171,020011407,POINT (-58.37014142332233 -34.61297198353774),Comuna 1,0015,020010015
172,020011408,POINT (-58.36876486123256 -34.61464361609046),Comuna 1,0015,020010015
173,020011409,POINT (-58.37194593265294 -34.6142277298547),Comuna 1,0015,020010015
174,020011410,POINT (-58.3718967633052 -34.61540486432048),Comuna 1,0015,020010015
175,020011411,POINT (-58.373855729883374 -34.61547602649855),Comuna 1,0015,020010015
176,020011412,POINT (-58.375293334715245 -34.61555351159547),Comuna 1,0015,020010015
181,020011505,POINT (-58.3796399723339 -34.6135614481423),Comuna 1,0015,020010015
182,020011506,POINT (-58.379553302045 -34.614665724320226),Comuna 1,0015,020010015
183,020011507,POINT (-58.37678521558909 -34.61449444361758),Comuna 1,0015,020010015
184,020011508,POINT (-58.37673140431638 -34.61564832518895),Comuna 1,0015,020010015
185,020011509,POINT (-58.379516985738576 -34.615794051058536),Comuna 1,0015,020010015
186,020011510,POINT (-58.38016907092747 -34.61702193414651),Comuna 1,0015,020010015
187,020011511,POINT (-58.37810460752403 -34.616913857037105),Comuna 1,0015,020010015
188,020011601,POINT (-58.38266346885717 -34.60970039275747),Comuna 1,0012,020010012
189,020011602,POINT (-58.384101377289745 -34.61038904618206),Comuna 1,0012,020010012
190,020011603,POINT (-58.38536086876168 -34.609245127424025),Comuna 1,0012,020010012
191,020011604,POINT (-58.38553626040712 -34.609622254338284),Comuna 1,0012,020010012
192,020011605,POINT (-58.38550373140642 -34.61047399057875),Comuna 1,0012,020010012
193,020011606,POINT (-58.386854460246674 -34.610566029007934),Comuna 1,0012,020010012
194,020011607,POINT (-58.388235367817536 -34.610058327624756),Comuna 1,0012,020010012
195,020011608,POINT (-58.389688378379326 -34.61073770715565),Comuna 1,0012,020010012
196,020011609,POINT (-58.39074267975018 -34.610132510445744),Comuna 1,0012,020010012
197,020011610,POINT (-58.39106856337551 -34.61202736755057),Comuna 1,0012,020010012
198,020011611,POINT (-58.38964500991018 -34.61192351968458),Comuna 1,0012,020010012
199,020011612,POINT (-58.38820351807642 -34.61182627643141),Comuna 1,0012,020010012
200,020011701,POINT (-58.38543663807653 -34.611632006013416),Comuna 1,0012,020010012
201,020011702,POINT (-58.382591410545146 -34.61142540743391),Comuna 1,0012,020010012
202,020011703,POINT (-58.38248754958789 -34.613145889735236),Comuna 1,0012,020010012
203,020011704,POINT (-58.383985756134145 -34.612687788321374),Comuna 1,0012,020010012
205,020011706,POINT (-58.385413512877484 -34.61280437853081),Comuna 1,0012,020010012
206,020011707,POINT (-58.386812882839905 -34.612918438358975),Comuna 1,0012,020010012
211,020011801,POINT (-58.39104672115313 -34.61319035855927),Comuna 1,0012,020010012
212,020011802,POINT (-58.389655497572605 -34.6130998444903),Comuna 1,0012,020010012
204,020011705,POINT (-58.384579983625436 -34.613904867189284),Comuna 1,0013,020010013
207,020011708,POINT (-58.386760674839906 -34.61405634219012),Comuna 1,0013,020010013
